,api_call_full,slices,metric,run_type,run_time_sec,slice-seconds,cpu_pct_mean,cpu_pct_p90,gpu_pct_mean,gpu_pct_p90,cpu_usage_mean,cpu_usage_p90,mem_process,mem_container_limit,mem_container_used,mem_container_avail,mem_system_total,mem_system_used,mem_system_avail,,
111,exportCameras_gpu,7,max,xl,0.0,0.0,8.0,8.0,NA,NA,2.5,2.5,1.6,122.8,2.6,120.4,122.8,3.5,119.5,,
112,exportCameras_gpu,7,mean,xl,0.0,0.0,7.3,7.3,NA,NA,2.3,2.3,1.5,122.8,2.5,120.3,122.8,3.4,119.4,,
113,exportModel_cpu,7,max,large,18.0,2.6,8.0,8.0,NA,NA,1.2,1.1,5.3,58.9,29.5,49.2,58.9,6.6,52.4,,
114,exportModel_cpu,7,max,xl,18.0,126.0,4.0,5.0,NA,NA,1.3,1.3,8.4,122.8,31.5,107.0,122.8,10.3,113.4,,
115,exportModel_cpu,3.5,mean,large,15.7,54.8,8.0,8.0,NA,NA,1.2,1.1,5.2,58.9,20.7,38.2,58.9,6.6,52.3,,
116,exportModel_cpu,7,mean,xl,15.7,109.7,4.0,4.3,NA,NA,1.2,1.2,8.1,122.8,22.4,100.4,122.8,10.0,112.8,,
117,exportModel_gpu,7,max,xl,18.0,126.0,4.0,5.0,0.0,0.0,1.2,1.3,8.7,115.1,29.6,99.3,115.1,11.5,104.5,,
118,exportModel_gpu,7,mean,xl,15.7,109.7,4.0,5.0,0.0,0.0,1.2,1.2,8.4,115.1,21.3,93.9,115.1,11.2,104.0,,0.581785392
119,exportRaster (DSM-mesh)_cpu,7,max,large,9.0,1.3,14.0,22.0,NA,NA,2.1,3.4,0.8,58.9,3.4,56.9,58.9,2.2,56.8,,
120,exportRaster (DSM-mesh)_cpu,7,max,xl,9.0,63.0,10.0,15.0,NA,NA,3.1,4.7,0.9,122.8,3.4,122.0,122.8,2.8,120.3,,
121,exportRaster (DSM-mesh)_cpu,3.5,mean,large,6.3,22.2,13.3,19.3,NA,NA,2.0,3.0,0.7,58.9,2.8,56.1,58.9,2.1,56.8,,
122,exportRaster (DSM-mesh)_cpu,7,mean,xl,6.0,42.0,9.3,13.7,NA,NA,2.8,4.3,0.8,122.8,2.4,120.4,122.8,2.7,120.1,,
123,exportRaster (DSM-mesh)_gpu,7,max,xl,9.0,63.0,10.0,16.0,NA,NA,3.1,5.1,0.8,122.8,3.3,120.9,122.8,2.7,120.3,,
124,exportRaster (DSM-mesh)_gpu,7,mean,xl,6.0,42.0,8.7,14.3,NA,NA,2.7,4.5,0.7,122.8,2.7,120.1,122.8,2.6,120.2,,
125,exportRaster (DSM-ptcloud)_cpu,7,max,large,7.0,1.0,16.0,24.0,NA,NA,2.4,3.8,0.6,58.9,2.1,57.4,58.9,2.0,56.9,,
126,exportRaster (DSM-ptcloud)_cpu,7,max,xl,7.0,49.0,11.0,17.0,NA,NA,3.4,5.4,0.7,122.8,2.2,122.3,122.8,2.6,120.3,,
127,exportRaster (DSM-ptcloud)_cpu,3.5,mean,large,5.3,18.7,14.7,21.0,NA,NA,2.2,3.3,0.6,58.9,1.8,57.1,58.9,2.0,56.9,,
128,exportRaster (DSM-ptcloud)_cpu,7,mean,xl,5.0,35.0,10.3,14.7,NA,NA,3.1,4.7,0.6,122.8,1.6,121.3,122.8,2.6,120.3,,1.714285714
129,exportRaster (DSM-ptcloud)_gpu,7,max,xl,7.0,49.0,10.0,14.0,NA,NA,3.1,4.5,0.7,122.8,2.2,121.3,122.8,2.6,120.4,,
130,exportRaster (DSM-ptcloud)_gpu,7,mean,xl,5.0,35.0,9.0,13.0,NA,NA,2.8,4.1,0.6,122.8,1.9,121.0,122.8,2.6,120.3,,
131,exportRaster (DTM-ptcloud)_cpu,7,max,large,6.0,0.9,16.0,24.0,NA,NA,2.4,3.7,0.6,58.9,2.5,57.2,58.9,2.0,56.9,,
132,exportRaster (DTM-ptcloud)_cpu,7,max,xl,6.0,42.0,11.0,17.0,NA,NA,3.5,5.6,0.7,122.8,2.5,121.3,122.8,2.6,120.4,,
133,exportRaster (DTM-ptcloud)_cpu,3.5,mean,large,4.7,16.3,14.3,20.0,NA,NA,2.2,3.1,0.6,58.9,2.1,56.8,58.9,2.0,56.9,,
134,exportRaster (DTM-ptcloud)_cpu,7,mean,xl,4.7,32.7,10.0,13.7,NA,NA,3.1,4.4,0.6,122.8,2.1,120.7,122.8,2.5,120.3,,
135,exportRaster (DTM-ptcloud)_gpu,7,max,xl,6.0,42.0,11.0,16.0,NA,NA,3.3,5.1,0.7,122.8,2.5,121.2,122.8,2.6,120.4,,
136,exportRaster (DTM-ptcloud)_gpu,7,mean,xl,4.7,32.7,9.7,13.3,NA,NA,3.1,4.3,0.6,122.8,2.1,120.7,122.8,2.5,120.3,,
137,exportRaster (ortho-dsm-mesh)_cpu,7,max,large,128.0,18.3,14.0,27.0,NA,NA,2.1,4.2,2.2,58.9,46.1,17.7,58.9,3.7,56.0,,
138,exportRaster (ortho-dsm-mesh)_cpu,7,max,xl,124.0,868.0,8.0,15.0,NA,NA,2.5,4.6,2.5,122.8,63.8,85.5,122.8,4.5,119.0,,
139,exportRaster (ortho-dsm-mesh)_cpu,3.5,mean,large,91.7,320.8,13.3,23.7,NA,NA,2.0,3.7,1.8,58.9,43.3,15.5,58.9,3.2,55.6,,
140,exportRaster (ortho-dsm-mesh)_cpu,7,mean,xl,88.0,616.0,7.7,13.3,NA,NA,2.3,4.2,2.2,122.8,50.1,72.7,122.8,4.2,118.6,,
141,exportRaster (ortho-dsm-mesh)_gpu,7,max,xl,117.0,819.0,8.0,15.0,NA,NA,2.5,4.8,2.2,122.8,66.4,71.6,122.8,4.3,119.1,,
142,exportRaster (ortho-dsm-mesh)_gpu,7,mean,xl,85.7,599.7,7.7,14.3,NA,NA,2.4,4.5,2.0,122.8,60.3,62.5,122.8,4.0,118.8,,
143,exportRaster (ortho-dsm-ptcloud)_cpu,7,max,large,99.0,14.1,14.0,26.0,NA,NA,2.1,4.0,1.9,58.9,48.8,18.4,58.9,3.4,56.2,,
144,exportRaster (ortho-dsm-ptcloud)_cpu,7,max,xl,92.0,644.0,8.0,17.0,NA,NA,2.6,5.2,1.9,122.8,60.6,86.6,122.8,3.9,119.2,,
145,exportRaster (ortho-dsm-ptcloud)_cpu,3.5,mean,large,73.7,257.8,13.7,22.7,NA,NA,2.0,3.5,1.6,58.9,44.3,14.6,58.9,3.1,55.8,,
